sample,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,qc_pass
DT-98028,0.68,99.30,19528,855697,TRUE
DC-89351,1.11,98.87,21693,1014391,TRUE
DC-43349,1.18,98.80,21679,967092,TRUE
DN-15821,1.39,98.59,19238,1026463,TRUE
DT-86005,2.14,97.84,19238,1086074,TRUE
DT-96722,1.23,98.75,19272,912768,TRUE
DN-46469,0.16,99.82,29809,750942,TRUE
DN-19076,0.35,99.63,29786,1072860,TRUE
DD-59994,1.24,98.74,19267,1213348,TRUE
DT-82585,1.22,98.76,19238,908584,TRUE
DD-31613,2.76,97.22,13341,869256,TRUE
DD-78322,3.24,96.74,8891,622951,TRUE
DT-36539,4.68,95.30,13341,534291,TRUE
DN-79606,0.40,99.58,21713,990790,TRUE
DT-23568,0.14,99.84,29816,1307495,TRUE
DC-91509,1.16,98.82,19259,752814,TRUE
DT-41418,0.27,99.71,19526,950383,TRUE
DT-29350,1.79,98.19,19238,772369,TRUE
DN-78660,4.33,95.71,7522,782187,TRUE
DN-54885,1.14,98.84,19264,942336,TRUE
DN-32224,1.12,98.86,19271,1012713,TRUE
DD-74523,0.70,99.28,19394,1084452,TRUE
DC-70388,0.24,99.74,29820,942252,TRUE
DD-43535,1.27,98.71,19259,995340,TRUE
DT-84274,2.12,97.86,7522,517432,TRUE
DN-14210,2.05,97.93,13341,829834,TRUE
DT-65423,2.44,97.54,19238,799502,TRUE
DC-30413,0.85,99.13,19255,1008377,TRUE
DT-77745,1.12,98.86,19259,1149283,TRUE
DN-57251,0.38,99.60,19524,896598,TRUE
DD-79047,0.53,99.45,21900,1086788,TRUE
DT-86912,3.07,96.91,8625,587704,TRUE
DT-98785,0.17,99.81,29813,1117038,TRUE
DT-50306,2.15,97.83,19238,999913,TRUE
DD-17197,0.53,99.45,21791,989051,TRUE
DT-59304,1.56,98.44,19238,988107,TRUE
DN-20877,2.90,97.06,13566,936274,TRUE
DN-74137,0.31,99.67,29797,1109313,TRUE
DT-10507,1.14,98.84,19265,1074013,TRUE
DT-48476,0.43,99.55,19476,946341,TRUE
DD-69882,4.03,95.93,13340,646934,TRUE
DD-92492,1.18,98.80,19253,1092380,TRUE
DC-22779,1.16,98.82,21678,943805,TRUE
DD-25834,2.51,97.47,13326,847782,TRUE
DN-84828,2.78,97.20,13325,879460,TRUE
DC-93691,1.98,98.00,19322,934347,TRUE
DT-72079,2.09,97.89,19238,1069873,TRUE
DT-33007,1.23,98.75,19238,1089804,TRUE
DN-36665,0.79,99.19,21737,903886,TRUE
DD-20767,2.23,97.75,19238,828355,TRUE
DC-36019,4.16,95.82,8598,686859,TRUE
DD-46665,1.59,98.39,19238,1015547,TRUE
DN-99734,1.92,98.06,19248,974768,TRUE
DC-46402,3.63,96.34,8598,681376,TRUE
DN-85156,0.24,99.74,21679,1062704,TRUE
DT-68217,0.23,99.75,29822,1120280,TRUE
DC-80412,0.81,99.17,21679,796320,TRUE
DN-40877,1.11,98.87,19272,1330963,TRUE
DT-32544,2.56,97.42,13325,777257,TRUE
DC-90164,3.60,96.38,11336,837297,TRUE
DD-30721,0.23,99.75,29821,1220225,TRUE
DT-29072,1.15,98.83,19261,1073313,TRUE
DN-42314,0.40,99.58,21927,1172892,TRUE
DD-33071,0.30,99.68,29770,942456,TRUE
DN-78884,2.98,97.00,19238,892736,TRUE
DD-43071,1.15,98.83,19238,952177,TRUE
DD-72983,1.37,98.61,19238,1052177,TRUE
DC-77607,0.33,99.65,21926,1005458,TRUE
DC-57245,0.65,99.33,19238,965831,TRUE
DN-47374,0.35,99.63,29786,891772,TRUE
DT-81108,0.15,99.83,29814,1144403,TRUE
DN-33011,0.17,99.81,29813,1253155,TRUE
DN-19251,1.22,98.76,19272,1023901,TRUE
DT-41960,0.22,99.76,21943,1023442,TRUE
DN-54386,2.09,97.89,19271,992571,TRUE
DD-28592,3.55,96.48,13342,714806,TRUE
DC-32321,2.79,97.19,13341,718675,TRUE
DC-22689,0.64,99.34,21678,1147179,TRUE
DC-16472,2.28,97.70,19238,1100116,TRUE
DT-82438,2.28,97.71,13340,716580,TRUE
DT-36353,3.34,96.64,13341,723582,TRUE
DT-69785,2.17,97.81,19238,973064,TRUE
DN-73563,1.35,98.63,19238,715788,TRUE
DN-94332,1.69,98.29,19238,822346,TRUE
DC-40554,2.20,97.78,19238,668012,TRUE
DT-12182,2.62,97.36,19238,595506,TRUE
DD-60204,2.61,97.37,19272,719789,TRUE
DN-10813,1.36,98.62,19238,964541,TRUE
DT-98970,1.88,98.10,19250,1010326,TRUE
DD-50677,0.18,99.80,21969,1178610,TRUE
DC-72791,1.54,98.44,19238,1087388,TRUE
DD-49535,0.82,99.16,19266,1200246,TRUE
DC-84599,1.68,98.30,19238,1140529,TRUE
DN-47770,1.22,98.76,19272,1177751,TRUE
DD-39068,2.98,97.00,19238,1029314,TRUE
DN-88371,1.47,98.50,19238,1022234,TRUE
DC-33488,0.24,99.74,29786,772970,TRUE
DN-21791,1.07,98.91,15015,762968,TRUE
DT-78251,2.71,97.27,19238,656303,TRUE
DT-83132,0.68,99.30,19238,909208,TRUE
DD-43858,2.23,97.75,19238,921709,TRUE
DN-77018,1.67,98.31,17059,1219170,TRUE
DT-43381,1.24,98.74,19238,968204,TRUE
DD-60417,1.06,98.92,19238,1021785,TRUE
DN-55226,0.47,99.51,21715,893616,TRUE
DC-34297,3.74,96.24,8598,803070,TRUE
DC-99929,3.46,96.52,8721,875263,TRUE
DC-94636,1.61,98.37,19238,1092811,TRUE
DD-61617,1.11,98.87,19273,1011756,TRUE
DN-92028,0.66,99.34,19247,1105787,TRUE
DT-75611,1.22,98.68,19248,900326,TRUE
DN-36172,1.70,98.28,8582,711953,TRUE
DD-67014,0.34,99.64,29786,842954,TRUE
DT-99621,1.25,98.73,21679,748332,TRUE
DD-17966,2.35,97.64,13341,887920,TRUE
DD-97371,0.24,99.74,29820,922429,TRUE
DT-35717,0.25,99.75,29828,896494,TRUE
DN-52930,0.14,99.84,29814,907846,TRUE
DT-37230,0.78,99.20,21713,1002261,TRUE
DN-81742,1.23,98.75,19238,978236,TRUE
DT-70236,1.18,98.80,19238,981274,TRUE
DD-56171,0.73,99.25,19272,1157720,TRUE
DD-56977,2.22,97.76,12180,736349,TRUE
DD-59100,2.05,97.93,19238,944126,TRUE
DD-87843,1.86,98.12,19246,1078508,TRUE
DN-43031,1.30,98.70,19260,950411,TRUE
DD-66151,0.40,99.58,21938,906283,TRUE
DT-42068,1.61,98.37,19238,1233349,TRUE
DN-18848,1.25,98.73,19268,1037248,TRUE
DT-77368,0.15,99.83,29814,1253354,TRUE
DC-65068,2.20,97.78,19252,1044667,TRUE
DT-28977,0.26,99.72,29812,1179166,TRUE
DD-38201,0.18,99.80,21713,1158625,TRUE
DN-99897,0.23,99.75,29822,1138981,TRUE
DT-39704,1.44,98.55,19271,1202237,TRUE
DD-71662,0.91,99.07,19238,1364366,TRUE
DD-15114,0.35,99.63,29786,988285,TRUE
DC-97810,0.65,99.33,19269,1182651,TRUE
DT-77305,1.07,98.91,19260,1234653,TRUE
DD-96938,0.67,99.31,19388,1285741,TRUE
DN-34727,1.65,98.33,19274,1209027,TRUE
DT-10601,76.56,23.44,672,7324,FALSE
DC-39106,97.20,2.80,334,4860,FALSE
DD-26547,100.00,0.00,1,2,FALSE
DC-57295,44.85,55.16,2490,105898,FALSE
DN-80343,43.67,56.38,2125,125798,FALSE
DD-12663,34.28,65.71,2134,81968,FALSE
DN-60124,72.01,28.01,967,83095,FALSE
DC-94686,72.85,27.16,787,46266,FALSE
DT-88208,11.47,88.54,7054,286111,FALSE
DD-47867,5.96,94.02,7567,342715,FALSE
DD-58350,8.85,91.15,6686,366494,FALSE
DN-14939,30.14,69.90,2832,133121,FALSE
DN-11389,51.14,48.79,1611,57573,FALSE
DT-64538,60.03,39.99,1570,47888,FALSE
DN-95225,89.98,10.02,358,3420,FALSE
DN-42556,68.08,31.94,679,20801,FALSE
DD-37988,7.68,92.28,7567,409785,FALSE
DN-93058,5.22,94.78,7039,482660,FALSE
DC-22064,48.43,51.58,1300,135779,FALSE
DD-64156,48.49,51.51,1304,103740,FALSE
DT-17229,11.18,88.79,5651,262634,FALSE
DD-45708,48.15,51.89,1905,85299,FALSE
DC-30501,13.09,86.93,4138,323343,FALSE
DT-21495,27.81,72.19,1435,284852,FALSE
DN-42281,5.63,94.35,7522,506958,FALSE
DC-46734,21.10,78.91,2789,387848,FALSE
DN-39826,39.18,60.85,1582,292653,FALSE
DC-27524,16.80,83.22,3982,133982,FALSE
DN-40309,30.35,69.69,1780,149623,FALSE
DD-81433,79.49,20.51,663,111190,FALSE
DT-72663,6.45,93.56,6751,369694,FALSE
DD-66337,7.45,92.57,5003,335236,FALSE
DN-74417,5.31,94.72,7522,394551,FALSE
DC-32710,13.90,86.13,3956,263220,FALSE
DN-89713,8.17,91.82,7054,339327,FALSE
DN-37177,7.14,92.84,7055,635668,FALSE
DC-56776,7.59,92.39,6047,426617,FALSE
DD-46612,6.49,93.51,6877,354960,FALSE
DT-91176,50.76,49.28,1881,56209,FALSE
DN-79285,71.27,28.72,660,27691,FALSE
DN-93696,69.46,30.56,950,20616,FALSE
DT-34121,48.04,51.96,1622,136329,FALSE
DN-93768,88.53,11.47,632,7431,FALSE
DC-45578,5.92,94.10,7217,474634,FALSE
DC-31098,21.46,78.54,3549,393735,FALSE
DT-74152,44.90,55.13,1475,109574,FALSE
DD-29681,16.81,83.20,5026,178982,FALSE
DD-46939,86.62,13.40,669,61617,FALSE
DT-98041,79.16,20.84,663,23999,FALSE
DD-40319,5.77,94.23,8597,434199,FALSE
DN-27535,7.69,92.32,7055,510413,FALSE
DD-97186,5.69,94.33,8846,476611,FALSE
DN-51968,9.67,90.36,7055,463062,FALSE
DD-28018,11.22,88.79,4115,223443,FALSE
DD-43789,43.58,56.43,376,306017,FALSE
DD-38734,8.40,91.63,5894,277976,FALSE
DC-33514,5.72,94.30,7055,575615,FALSE
DC-96039,7.03,92.96,7259,357604,FALSE
DD-16845,7.79,92.21,5417,427215,FALSE
DD-54054,20.01,79.98,4061,183226,FALSE
DC-82803,55.14,44.86,1589,193423,FALSE
DC-64673,92.49,7.52,352,17666,FALSE
DD-26873,50.38,49.62,1444,56010,FALSE
DD-31398,68.65,31.35,960,28677,FALSE
DN-29383,97.31,2.69,330,543,FALSE
DD-14354,7.90,92.15,7055,408494,FALSE
DN-13771,25.57,74.42,3265,289672,FALSE
DD-16692,74.69,25.31,666,88390,FALSE
DD-52829,12.27,87.73,4629,239957,FALSE
DC-20457,10.44,89.57,5651,245069,FALSE
DC-33517,24.59,75.42,3132,326797,FALSE
DD-20528,5.45,94.55,7288,426690,FALSE
DN-87137,38.88,61.13,1888,94432,FALSE
DD-72673,43.29,56.71,1601,78312,FALSE
DN-89845,7.11,92.89,7135,303220,FALSE
DD-11059,12.23,87.78,5651,485798,FALSE
DT-53672,16.79,83.20,3146,236980,FALSE
DN-32630,6.32,93.69,8582,396377,FALSE
DD-23398,10.52,89.47,6431,199352,FALSE
DN-80728,9.12,90.88,9208,326623,FALSE
DC-99274,15.20,84.90,3862,359629,FALSE
DN-50902,16.73,83.28,4451,305459,FALSE
DC-57093,74.16,25.84,1258,34135,FALSE
DD-30186,8.00,91.98,8597,312505,FALSE
DD-88555,46.14,53.86,1475,62021,FALSE
DD-23750,8.76,91.29,6683,470842,FALSE
DN-86931,38.16,61.85,1595,129289,FALSE
DT-97623,10.15,89.85,6489,527338,FALSE
DN-11305,5.44,94.56,7057,538274,FALSE
DD-41981,9.75,90.23,5793,780274,FALSE
